"id","L","A","C","Y"
135,1,0,0,0
136,1,1,0,0
137,1,2,0,0
138,0,1,0,0
139,0,1,0,0
140,1,2,0,0
141,1,1,0,0
142,1,2,0,0
143,0,0,1,NA
144,1,1,1,NA
145,0,1,0,0
146,1,0,0,1
147,1,1,0,0
148,0,1,0,0
149,1,0,0,0
150,0,1,0,0
151,1,0,0,0
152,1,0,0,0
153,1,1,0,0
154,0,1,0,0
155,0,1,0,0
156,1,0,0,1
157,1,1,0,0
158,0,0,0,0
159,1,1,0,0
160,1,0,0,0
161,1,0,0,0
162,1,2,0,0
163,1,0,0,0
164,1,1,0,0
165,0,2,0,0
166,0,1,0,0
167,1,2,0,0
168,0,1,0,0
169,1,2,0,0
170,0,1,0,0
171,1,1,0,0
172,0,0,0,0
173,1,1,0,0
174,0,0,0,0
175,0,1,0,0
176,1,0,0,0
177,1,2,0,0
178,1,0,0,0
179,1,0,0,1
180,1,1,0,0
181,0,0,0,1
182,0,0,0,1
183,0,1,0,0
184,0,1,0,0
185,1,0,0,1
186,1,0,0,1
187,0,1,0,0
188,1,0,0,0
189,0,0,0,0
190,0,0,0,0
191,1,1,0,0
192,1,1,0,0
193,0,1,0,0
194,0,1,1,NA
195,1,1,1,NA
196,0,1,0,0
197,0,1,0,1
198,1,1,0,0
199,0,1,0,0
200,0,1,0,0
201,1,1,0,0
202,1,2,0,0
203,0,0,0,0
204,1,1,0,0
205,1,1,1,NA
206,1,2,0,0
207,0,1,0,0
208,0,1,0,0
209,1,1,0,0
210,1,1,1,NA
211,0,1,0,1
212,1,2,1,NA
213,0,0,0,0
214,0,1,1,NA
215,1,0,0,0
216,0,0,0,1
217,0,1,1,NA
218,1,1,0,0
219,1,0,0,1
220,0,0,0,0
221,0,2,1,NA
222,0,0,0,0
223,0,0,0,0
224,1,0,0,1
225,1,1,0,0
226,1,2,0,0
227,1,2,0,0
228,0,0,0,0
229,0,1,0,1
230,1,2,0,0
231,0,0,0,0
232,1,1,0,0
233,0,0,0,0
234,1,0,0,0
235,1,1,0,0
236,1,1,0,0
237,1,2,1,NA
238,1,1,0,1
239,0,1,0,0
240,0,0,0,1
241,1,0,0,0
242,1,1,0,0
243,1,1,1,NA
244,1,0,1,NA
245,1,1,0,0
246,1,1,0,0
247,1,1,0,0
248,1,1,0,0
249,0,0,0,0
250,1,2,1,NA
251,0,0,1,NA
252,1,1,0,0
253,0,0,0,0
254,0,1,1,NA
255,1,1,1,NA
256,1,1,0,0
257,0,0,0,0
258,0,2,1,NA
259,0,1,0,0
260,0,1,1,NA
261,1,2,0,0
262,1,1,0,1
263,1,1,0,0
264,1,0,0,0
265,1,0,0,0
266,0,0,0,1
267,0,0,0,0
268,1,1,0,0
269,1,0,0,0
270,1,0,0,0
271,0,0,0,0
272,0,1,0,1
273,0,0,0,0
274,1,2,1,NA
275,1,2,0,0
276,0,1,1,NA
277,1,1,0,0
278,0,0,0,0
279,0,1,0,0
280,1,2,0,0
281,0,1,0,0
282,1,1,0,0
283,0,1,1,NA
284,0,0,1,NA
285,0,0,0,0
286,0,1,0,0
287,0,0,0,1
288,1,1,0,0
289,1,2,0,0
290,1,2,0,0
291,1,1,0,0
292,1,2,0,0
293,0,0,0,0
294,0,1,1,NA
295,1,0,0,0
296,0,0,0,0
297,1,2,0,0
298,0,0,1,NA
299,1,2,0,0
300,0,0,0,0
301,0,0,0,1
302,1,1,1,NA
303,1,1,0,0
304,1,2,0,0
305,1,0,0,0
306,1,2,0,0
307,0,1,0,0
308,0,1,0,0
309,0,1,0,0
310,0,0,1,NA
311,0,0,0,1
312,0,0,0,0
313,1,0,0,0
314,0,1,1,NA
315,0,0,0,1
316,1,1,0,0
317,1,0,0,0
318,1,0,0,0
319,0,0,0,0
320,1,0,1,NA
321,0,0,0,0
322,1,1,0,0
323,1,0,0,0
324,0,0,0,0
325,0,0,1,NA
326,1,1,0,1
327,0,0,0,1
328,0,1,1,NA
329,0,0,0,0
330,0,0,0,0
331,0,0,0,0
332,1,2,0,0
333,1,1,0,0
334,1,0,0,0
335,0,0,1,NA
336,0,0,0,1
337,1,2,1,NA
338,1,1,1,NA
339,0,0,0,0
340,1,0,0,0
341,1,2,0,0
342,1,2,0,0
343,1,1,0,0
344,1,2,0,0
345,1,2,0,0
346,1,1,1,NA
347,1,0,0,1
348,1,2,0,0
349,0,0,1,NA
350,1,0,0,0
351,1,2,0,0
352,1,1,1,NA
353,1,1,0,0
354,1,1,0,0
355,1,0,0,0
356,1,2,0,0
357,1,2,0,0
358,1,0,0,0
359,0,0,0,0
360,1,0,0,0
361,0,0,0,1
362,0,1,1,NA
363,0,1,1,NA
364,0,0,0,0
365,0,1,0,0
366,1,2,0,0
367,1,1,0,0
368,0,0,0,0
369,1,1,0,0
370,1,2,0,0
371,1,1,0,0
372,1,1,0,0
373,1,2,0,0
374,1,2,0,0
375,1,2,0,0
376,0,2,0,0
377,0,0,0,0
378,1,1,0,0
379,0,1,0,0
380,0,1,0,0
381,1,1,0,0
382,1,2,0,0
383,0,1,0,0
384,1,1,0,0
385,1,1,0,0
386,1,1,0,0
387,1,1,0,0
388,0,0,0,0
389,1,1,0,0
390,0,0,0,0
391,1,0,0,0
392,1,2,1,NA
393,1,2,0,0
394,0,1,0,0
395,0,1,0,0
396,0,0,0,1
397,0,1,0,1
398,0,1,1,NA
399,1,0,0,0
400,0,0,0,0
401,0,1,1,NA
402,0,1,0,0
403,0,0,0,0
404,0,1,1,NA
405,1,1,0,0
406,0,0,0,0
407,1,1,0,0
408,0,0,0,1
409,1,1,0,0
410,0,1,0,0
411,1,2,0,0
412,1,2,1,NA
413,0,0,0,1
414,0,1,0,0
415,1,1,0,0
416,1,1,0,0
417,1,0,0,0
418,0,0,0,1
419,0,1,1,NA
420,0,0,0,0
421,1,1,0,0
422,0,0,0,0
423,0,0,0,0
424,0,0,0,0
425,0,0,0,0
426,1,1,0,0
427,1,1,0,0
428,0,0,0,0
429,0,1,0,0
430,1,0,0,1
431,1,2,0,0
432,0,1,1,NA
433,1,2,1,NA
434,0,0,0,0
435,0,1,1,NA
436,1,0,0,0
437,0,1,0,0
438,1,1,0,0
439,1,0,0,0
440,0,0,1,NA
441,1,2,0,0
442,1,2,1,NA
443,0,0,0,0
444,1,2,0,0
445,0,2,1,NA
446,1,1,0,0
447,0,1,0,1
448,0,0,0,0
449,1,2,0,0
450,1,1,0,0
451,1,1,1,NA
452,0,1,0,0
453,0,0,1,NA
454,1,1,0,1
455,1,2,1,NA
456,1,1,0,0
457,1,1,0,0
458,0,1,0,0
459,1,1,0,0
460,0,0,0,0
461,1,2,1,NA
462,1,2,0,0
463,0,0,1,NA
464,1,2,1,NA
465,1,0,0,0
466,0,0,0,0
467,1,2,0,0
468,0,1,0,0
469,1,1,0,0
470,0,1,0,0
471,0,1,1,NA
472,0,1,0,1
473,1,1,0,0
474,1,1,0,0
475,0,0,0,1
476,0,1,0,0
477,1,1,0,0
478,1,2,0,0
479,1,1,0,0
480,0,0,0,1
481,0,1,0,0
482,0,0,0,0
483,0,0,0,0
484,1,1,0,0
485,0,0,0,0
486,1,2,0,0
487,0,0,0,0
488,1,1,0,0
489,0,0,0,0
490,1,1,0,0
491,1,1,0,0
492,1,0,0,1
493,1,1,0,0
494,1,0,0,0
495,0,0,0,0
496,0,0,1,NA
497,1,0,0,0
498,1,2,1,NA
499,1,2,1,NA
500,1,0,0,0
501,0,0,0,0
502,1,2,0,0
503,1,0,0,0
504,1,1,0,0
505,1,1,0,0
506,1,0,0,0
507,0,0,0,1
508,1,1,0,0
509,0,0,0,0
510,1,2,0,0
511,1,1,0,0
512,0,1,1,NA
513,0,1,1,NA
514,1,2,0,0
515,0,0,0,0
516,1,0,0,0
517,0,1,1,NA
518,0,1,0,1
519,0,1,0,1
520,1,0,0,0
521,1,1,0,0
522,0,1,0,0
523,1,1,0,0
524,1,0,0,0
525,0,0,0,0
526,0,0,0,0
527,0,1,0,0
528,1,1,0,1
529,1,1,0,0
530,1,0,0,0
531,0,0,0,0
532,0,0,0,0
533,1,0,0,0
534,1,1,0,0
535,1,0,0,1
536,1,1,0,0
537,0,0,0,0
538,1,0,0,0
539,0,1,0,0
540,0,1,1,NA
541,0,0,0,0
542,0,0,0,0
543,0,1,0,0
544,1,1,0,0
545,1,0,0,0
546,1,2,1,NA
547,0,0,1,NA
548,1,0,0,0
549,1,1,0,0
550,1,2,1,NA
551,1,1,0,0
552,0,1,0,0
553,1,1,0,0
554,1,2,0,0
555,0,0,0,0
556,0,1,1,NA
557,0,1,0,0
558,0,1,0,0
559,1,0,0,0
560,0,1,0,0
561,0,0,0,1
562,0,0,1,NA
563,1,0,0,0
564,1,1,0,0
565,0,0,0,0
566,0,2,0,0
567,1,0,0,1
568,1,1,0,1
569,1,2,0,0
570,0,0,1,NA
571,1,2,0,0
572,1,0,0,1
573,1,1,0,0
574,0,0,0,0
575,0,0,0,0
576,0,1,0,0
577,1,1,0,0
578,0,0,0,0
579,1,1,0,0
580,1,1,0,0
581,0,0,0,0
582,1,1,0,0
583,0,1,0,0
584,0,0,0,1
585,0,1,0,0
586,1,0,0,0
587,1,0,0,0
588,1,1,0,0
589,0,1,0,0
590,0,1,0,0
591,1,1,0,1
592,0,1,0,0
593,0,0,0,1
594,1,2,1,NA
595,0,0,0,0
596,1,1,0,0
597,0,0,0,0
598,1,0,0,0
599,1,0,0,1
600,1,1,0,0
601,1,1,0,0
602,0,1,1,NA
603,1,0,0,0
604,1,0,0,1
605,0,1,0,0
606,1,1,0,0
607,1,1,1,NA
608,1,1,0,0
609,0,0,0,0
610,0,0,0,0
611,1,0,0,0
612,0,1,0,0
613,1,2,0,0
614,0,1,1,NA
615,1,1,0,1
616,0,1,0,0
617,0,1,0,0
618,1,1,1,NA
619,1,0,0,0
620,0,0,0,0
621,0,0,1,NA
622,1,0,0,0
623,0,0,0,1
624,0,0,0,0
625,1,2,1,NA
626,1,1,0,0
627,1,2,1,NA
628,1,2,0,0
629,1,2,0,0
630,0,1,0,0
631,0,0,0,0
632,0,1,0,0
633,0,0,0,1
634,0,1,0,1
635,0,0,0,0
636,0,1,0,0
637,1,1,0,0
638,0,2,1,NA
639,0,1,0,1
640,0,1,0,0
641,1,2,1,NA
642,1,1,0,0
643,1,1,0,0
644,0,0,0,0
645,1,1,0,0
646,1,1,0,0
647,1,2,0,0
648,1,1,0,0
649,0,0,0,0
650,1,1,0,0
651,1,1,1,NA
652,0,1,0,0
653,1,1,0,0
654,1,2,1,NA
655,1,1,0,0
656,1,1,0,0
657,0,0,0,0
658,0,1,0,0
659,1,2,1,NA
660,0,0,0,0
661,1,1,0,0
662,0,0,0,1
663,1,1,0,0
664,1,1,0,0
665,1,2,1,NA
666,0,2,0,0
667,1,1,0,0
668,0,0,0,0
669,1,1,0,0
670,1,0,0,0
671,1,0,0,0
672,0,0,0,0
673,0,0,0,0
674,1,1,0,0
675,1,0,0,0
676,0,0,0,0
677,1,0,0,0
678,0,0,0,1
679,1,1,1,NA
680,0,0,0,0
681,1,2,1,NA
682,0,2,0,0
683,0,0,0,1
684,1,1,0,0
685,1,1,1,NA
686,1,0,0,0
687,1,2,0,0
688,1,2,0,0
689,0,1,0,0
690,1,1,0,0
691,0,0,0,0
692,1,1,0,0
693,0,0,0,0
694,0,0,0,0
695,1,2,0,0
696,1,1,0,0
697,0,0,0,0
698,1,1,0,0
699,1,2,0,0
700,0,0,0,0
701,1,1,0,0
702,0,0,0,0
703,0,1,0,0
704,0,0,0,0
705,0,0,0,0
706,1,2,0,0
707,0,0,0,0
708,1,2,0,0
709,1,2,0,0
710,0,1,0,0
711,0,0,0,1
712,1,2,0,0
713,1,0,0,0
714,0,1,0,0
715,1,0,0,0
716,0,1,0,1
717,1,1,0,0
718,1,1,0,0
719,0,2,1,NA
720,0,1,0,0
721,0,2,0,0
722,0,0,0,0
723,0,0,0,0
724,0,1,1,NA
725,1,0,0,0
726,0,2,1,NA
727,0,0,0,0
728,0,0,0,0
729,1,2,1,NA
730,1,1,0,0
731,1,0,0,1
732,1,1,0,0
733,1,0,0,0
734,1,1,0,0
735,1,0,0,0
736,1,1,0,0
737,1,1,0,0
738,0,0,0,1
739,0,0,0,1
740,1,2,0,0
741,0,0,0,0
742,0,1,1,NA
743,1,0,0,0
744,1,0,0,0
745,1,1,1,NA
746,0,1,0,0
747,1,2,0,0
748,0,0,0,0
749,1,2,1,NA
750,1,2,0,0
751,0,1,0,0
752,1,0,0,0
753,1,0,0,0
754,0,1,0,0
755,0,0,0,0
756,0,0,0,0
757,1,1,1,NA
758,1,1,0,1
759,1,1,0,0
760,0,0,0,0
761,0,1,0,1
762,0,1,0,1
763,0,0,0,0
764,1,2,1,NA
765,1,2,0,0
766,1,1,0,0
767,0,0,0,1
768,1,1,0,0
769,1,1,0,0
770,0,1,1,NA
771,0,1,0,0
772,1,0,0,1
773,1,1,0,0
774,0,1,0,0
775,1,0,0,0
776,0,1,0,0
777,0,1,1,NA
778,0,1,0,0
779,0,0,0,0
780,1,2,1,NA
781,1,0,0,1
782,0,1,0,0
783,1,1,0,0
784,1,0,0,0
785,1,1,0,0
786,1,0,0,0
787,0,0,0,1
788,0,0,0,1
789,1,1,0,0
790,0,0,0,0
791,1,1,0,0
792,0,0,0,0
793,1,1,1,NA
794,0,1,0,0
795,1,1,0,0
796,1,2,0,0
797,0,0,0,0
798,0,1,1,NA
799,0,1,0,0
800,0,1,1,NA
801,1,2,0,0
802,1,2,1,NA
803,1,1,0,0
804,0,1,0,0
805,1,2,0,0
806,0,0,0,0
807,0,0,0,0
808,0,0,0,1
809,0,1,0,0
810,0,0,0,0
811,1,0,0,0
812,0,0,0,1
813,0,0,0,1
814,1,1,0,0
815,0,2,0,0
816,1,2,0,0
817,0,1,0,0
818,1,1,0,0
819,0,1,1,NA
820,1,0,0,0
821,0,0,1,NA
822,1,1,0,0
823,0,0,0,1
824,1,0,0,0
825,1,2,1,NA
826,0,1,1,NA
827,1,1,0,1
828,1,0,0,0
829,0,0,0,1
830,0,1,0,0
831,0,0,0,0
832,1,2,0,0
833,1,1,0,0
834,0,1,0,0
835,0,1,0,0
836,0,1,0,0
837,0,1,0,0
838,1,2,0,0
839,1,0,0,0
840,1,1,0,0
841,1,1,0,0
842,0,1,0,0
843,1,2,1,NA
844,1,1,0,0
845,0,1,0,0
846,1,2,0,0
847,1,2,0,0
848,0,0,0,1
849,1,1,0,0
850,0,0,0,1
851,0,0,0,0
852,1,1,0,0
853,1,2,0,0
854,0,0,0,0
855,0,1,0,1
856,0,1,1,NA
857,1,1,0,0
858,1,2,0,0
859,1,0,0,0
860,1,1,0,0
861,0,0,1,NA
862,0,0,1,NA
863,0,0,0,0
864,1,1,0,0
865,1,0,0,0
866,1,2,0,0
867,0,0,0,0
868,0,1,0,0
869,1,1,0,0
870,1,2,0,0
871,1,1,0,0
872,0,0,1,NA
873,1,1,1,NA
874,1,2,0,0
875,1,1,0,0
876,0,0,0,1
877,1,1,0,0
878,0,0,0,0
879,1,2,0,0
880,0,0,0,1
881,1,0,0,0
882,0,0,0,1
883,1,0,0,0
884,0,0,0,0
885,1,2,1,NA
886,1,0,0,0
887,1,2,0,0
888,0,1,0,0
889,1,1,0,0
890,0,0,0,0
891,1,1,0,0
892,0,1,1,NA
893,0,0,0,0
894,0,0,0,1
895,0,0,0,0
896,0,0,0,0
897,1,0,0,0
898,0,1,0,0
899,0,0,0,1
900,0,2,0,0
901,1,0,0,0
902,0,1,0,1
903,1,2,1,NA
904,0,0,0,1
905,0,1,0,0
906,0,1,1,NA
907,0,0,0,0
908,1,0,0,0
909,1,0,0,0
910,0,0,0,0
911,1,1,1,NA
912,0,0,0,0
913,1,1,0,0
914,1,2,0,0
915,0,1,0,0
916,1,2,1,NA
917,0,0,0,0
918,0,2,1,NA
919,1,1,0,0
920,0,2,1,NA
921,0,0,0,1
922,1,0,0,0
923,0,0,0,0
924,1,0,0,1
925,1,1,0,0
926,0,1,0,0
927,0,1,0,1
928,0,0,0,0
929,0,0,0,1
930,1,1,0,0
931,0,1,0,0
932,1,2,0,0
933,0,1,0,0
934,1,1,1,NA
935,0,1,1,NA
936,1,1,0,0
937,0,0,0,0
938,0,1,0,0
939,0,0,0,0
940,1,0,0,0
941,1,1,0,0
942,1,1,0,0
943,0,0,0,1
944,1,1,0,0
945,0,1,1,NA
946,1,1,0,0
947,1,2,1,NA
948,1,2,0,0
949,1,1,0,0
950,1,0,0,0
951,0,0,0,0
952,0,1,0,0
953,0,1,0,0
954,0,0,0,0
955,0,0,0,0
956,0,0,0,0
957,0,1,0,0
958,0,0,0,1
959,0,0,0,0
960,0,0,0,1
961,0,0,0,1
962,1,1,0,0
963,0,1,0,0
964,1,2,1,NA
965,0,0,0,1
966,1,1,0,0
967,1,1,0,0
968,0,0,0,0
969,0,0,1,NA
970,1,2,1,NA
971,1,1,0,0
972,1,1,0,0
973,1,2,0,0
974,1,0,0,0
975,1,2,0,0
976,1,1,0,0
977,1,2,0,0
978,0,1,1,NA
979,1,0,0,0
980,1,0,0,0
981,0,1,0,0
982,0,1,1,NA
983,1,2,0,0
984,1,1,1,NA
985,0,0,0,0
986,0,1,0,0
987,0,0,0,0
988,1,2,0,0
989,0,1,0,0
990,0,0,0,1
991,1,2,0,0
992,0,0,0,0
993,0,0,0,0
994,1,0,0,1
995,0,2,1,NA
996,1,1,1,NA
997,0,2,1,NA
998,0,1,1,NA
999,0,0,0,0
1000,0,0,1,NA
1001,0,0,1,NA
1002,1,1,0,0
1003,0,1,0,0
1004,0,0,0,0
1005,1,1,0,0
1006,0,0,0,0
1007,0,2,0,0
1008,1,1,0,0
1009,1,1,0,0
1010,1,1,0,0
1011,0,0,0,0
1012,1,2,0,0
1013,1,1,0,0
1014,0,0,0,0
1015,1,1,0,0
1016,1,1,0,1
1017,0,1,0,0
1018,1,1,0,0
1019,0,0,0,1
1020,1,1,0,0
1021,0,1,0,0
1022,0,1,0,0
1023,0,2,1,NA
1024,0,1,1,NA
1025,1,1,0,0
1026,1,1,0,0
1027,0,1,1,NA
1028,1,1,0,0
1029,1,0,0,0
1030,1,0,0,0
1031,1,1,0,0
1032,1,1,0,0
1033,1,1,0,0
1034,0,1,0,0
1035,0,1,0,0
1036,0,0,0,0
1037,0,1,0,0
1038,0,0,0,0
1039,0,0,0,0
1040,1,1,0,0
1041,1,0,1,NA
1042,0,0,0,1
1043,1,2,0,0
1044,1,0,0,0
1045,1,0,0,0
1046,1,1,0,0
1047,0,0,0,0
1048,0,1,0,0
1049,1,1,1,NA
1050,1,0,0,1
1051,1,2,0,0
1052,1,1,1,NA
1053,1,2,0,1
1054,1,2,0,0
1055,0,2,0,0
1056,0,0,0,1
1057,0,0,0,0
1058,1,1,0,0
1059,0,0,0,0
1060,0,1,0,0
1061,0,0,0,0
1062,1,1,0,0
1063,1,0,0,0
1064,0,0,0,1
1065,0,0,0,0
1066,0,0,0,0
1067,0,1,0,0
1068,1,0,0,0
1069,1,1,0,0
1070,1,1,0,0
1071,1,1,0,0
1072,0,1,0,0
1073,0,1,0,0
1074,0,0,0,0
1075,1,1,0,0
1076,1,1,0,1
1077,1,2,1,NA
1078,0,1,0,1
1079,0,0,0,0
1080,0,2,1,NA
1081,1,1,1,NA
1082,1,2,0,0
1083,0,1,0,1
1084,0,0,0,0
1085,1,1,1,NA
1086,0,0,0,0
1087,1,1,1,NA
1088,0,0,0,1
1089,1,1,0,0
1090,0,0,0,1
1091,1,1,1,NA
1092,1,0,0,0
1093,0,1,1,NA
1094,1,1,0,0
1095,0,1,0,0
1096,1,1,0,0
1097,0,0,0,1
1098,0,0,0,1
1099,1,1,0,0
1100,0,0,0,0
1101,0,0,0,0
1102,1,1,0,0
1103,0,1,1,NA
1104,0,1,1,NA
1105,1,1,1,NA
1106,1,1,0,0
1107,1,1,0,0
1108,1,1,0,0
1109,1,2,0,0
1110,0,0,0,1
1111,1,1,1,NA
1112,1,0,0,1
1113,0,1,0,0
1114,0,2,1,NA
1115,1,1,0,0
1116,1,0,0,0
1117,1,2,1,NA
1118,0,1,0,0
1119,0,0,0,0
1120,0,0,0,0
1121,1,1,0,0
1122,0,0,0,1
1123,1,1,0,0
1124,1,1,0,0
1125,0,0,0,0
1126,0,0,0,0
1127,1,0,0,1
1128,0,1,0,0
1129,0,0,1,NA
1130,1,2,0,0
1131,0,2,0,0
1132,1,0,0,0
1133,0,1,0,1
1134,0,2,0,0
1135,0,0,0,1
1136,0,1,1,NA
1137,0,1,1,NA
1138,0,1,0,1
1139,1,1,1,NA
1140,1,2,0,0
1141,1,1,0,0
1142,0,0,0,0
1143,0,1,1,NA
1144,1,1,0,0
1145,1,2,1,NA
1146,0,0,0,0
1147,0,0,0,1
1148,0,0,0,1
1149,1,1,0,1
1150,0,0,1,NA
1151,1,1,0,0
1152,1,1,1,NA
1153,1,0,0,0
1154,1,0,0,0
1155,1,1,0,0
1156,0,0,0,0
1157,0,0,0,0
1158,1,1,0,0
1159,1,2,0,0
1160,0,2,0,0
1161,1,0,0,0
1162,1,2,0,0
1163,0,0,0,0
1164,0,1,0,0
1165,1,1,0,0
1166,0,0,0,1
1167,0,0,0,1
1168,0,0,0,0
1169,1,1,1,NA
1170,1,0,0,0
1171,1,2,0,0
1172,1,0,0,0
1173,0,0,0,0
1174,0,0,0,0
1175,1,0,0,0
1176,0,1,0,0
1177,1,0,0,0
1178,0,1,0,0
1179,0,0,0,0
1180,1,1,0,0
1181,0,0,0,0
1182,1,0,0,0
1183,0,0,0,0
1184,1,1,0,0
1185,1,2,0,0
1186,1,0,0,0
1187,1,1,0,0
1188,0,1,0,0
1189,1,0,0,0
1190,1,1,0,0
1191,1,1,0,0
1192,1,2,0,0
1193,0,0,0,0
1194,1,1,0,0
1195,0,0,0,0
1196,1,1,0,0
1197,1,0,0,0
1198,0,1,1,NA
1199,0,0,0,0
1200,0,1,0,0
1201,0,1,0,0
1202,1,0,0,0
1203,1,1,0,0
1204,1,1,0,0
1205,0,2,0,0
1206,1,0,0,0
1207,0,1,0,0
1208,0,1,0,0
1209,0,1,0,0
1210,1,1,0,0
1211,0,0,0,0
1212,0,1,0,0
1213,1,2,0,0
1214,1,2,0,0
1215,0,1,0,0
1216,1,1,0,0
1217,1,1,0,0
1218,1,2,1,NA
1219,1,1,0,0
1220,0,1,0,0
1221,0,1,1,NA
1222,0,0,0,0
1223,1,0,0,1
1224,1,1,0,0
1225,0,0,0,0
1226,1,1,1,NA
1227,1,0,0,0
1228,0,0,0,1
1229,1,2,0,0
1230,0,1,1,NA
1231,1,2,1,NA
1232,1,1,0,0
1233,0,0,0,0
1234,1,2,0,0
1235,1,2,1,NA
1236,1,0,0,0
1237,1,1,0,0
1238,0,1,0,0
1239,0,0,0,0
1240,0,1,0,1
1241,1,1,0,0
1242,0,1,0,0
1243,1,1,0,0
1244,1,1,0,0
1245,0,0,1,NA
1246,1,1,0,0
1247,0,1,0,0
1248,0,0,0,0
1249,1,1,0,0
1250,1,0,0,0
1251,0,1,0,1
1252,1,1,0,0
1253,1,0,0,0
1254,0,0,0,1
1255,1,1,0,0
1256,0,0,0,1
1257,1,0,0,0
1258,0,1,0,0
1259,1,1,0,0
1260,1,0,0,0
1261,0,0,0,0
1262,1,0,0,0
1263,0,0,0,1
1264,1,1,1,NA
1265,1,2,0,0
1266,1,0,0,0
1267,1,0,0,0
1268,0,0,0,0
1269,0,0,0,0
1270,0,0,0,0
1271,0,0,0,0
1272,1,1,0,0
1273,1,1,0,0
1274,0,2,0,0
1275,1,0,1,NA
1276,1,0,0,0
1277,0,1,0,0
1278,1,0,0,0
1279,0,0,0,0
1280,0,0,0,0
1281,1,1,0,0
1282,1,0,0,1
1283,1,0,0,0
1284,0,1,0,0
1285,1,0,0,0
1286,1,1,1,NA
1287,0,0,0,0
1288,1,1,0,0
1289,0,0,1,NA
1290,0,0,0,0
1291,1,0,0,0
1292,1,0,0,0
1293,0,0,0,0
1294,0,1,0,0
1295,1,0,0,0
1296,1,0,0,0
1297,1,1,0,0
1298,0,2,0,0
1299,1,1,0,0
1300,0,2,1,NA
1301,0,0,0,0
1302,0,0,0,0
1303,0,0,0,0
1304,0,0,0,0
1305,1,2,0,0
1306,1,1,0,0
1307,1,1,0,0
1308,0,0,0,0
1309,1,1,0,0
1310,0,1,1,NA
1311,0,0,0,0
1312,1,2,0,0
1313,0,0,0,0
1314,1,0,0,0
1315,1,1,0,0
1316,0,0,0,1
1317,0,1,0,0
1318,1,2,0,0
1319,1,0,0,0
1320,1,0,0,1
1321,0,0,0,0
1322,1,0,0,1
1323,1,1,0,0
1324,0,0,0,0
1325,0,0,0,1
1326,0,1,0,0
1327,1,2,0,0
1328,1,1,0,0
1329,0,1,0,0
1330,0,1,1,NA
1331,0,0,0,0
1332,1,2,1,NA
1333,0,0,0,0
1334,0,0,1,NA
1335,1,0,0,0
1336,0,1,0,0
1337,1,2,0,0
1338,1,2,1,NA
1339,0,0,0,1
1340,0,1,1,NA
1341,0,0,0,0
1342,0,2,1,NA
