"id","L1","L2","A","C","Y"
147,1,0.892732264706865,1,0,0
148,0,0.859580878168344,1,1,NA
149,0,0.854659650009125,1,1,NA
150,1,0.66568052326329,0,0,0
151,0,0.565487991785631,1,0,0
152,1,0.594247159780934,1,0,0
153,1,0.164308889070526,2,0,0
154,0,0.833635164657608,2,1,NA
155,0,0.688188752159476,0,0,1
156,1,0.723186751594767,2,0,0
157,1,0.453619644744322,2,0,0
158,0,0.131971366005018,1,0,0
159,1,0.297177483094856,1,0,0
160,1,0.436200781492516,1,0,0
161,0,0.410889585502446,1,0,0
162,1,0.41360407252796,1,0,0
163,1,0.178001643624157,1,0,0
164,1,0.174157268600538,0,0,0
165,1,0.781971623189747,1,0,0
166,1,0.721148125361651,2,0,0
167,1,0.12717588362284,2,0,0
168,0,0.195285020861775,0,0,0
169,1,0.526511427713558,1,0,0
170,1,0.996457474306226,0,0,0
171,0,0.608107626670972,1,1,NA
172,0,0.501018336508423,2,0,0
173,0,0.503466123249382,0,1,NA
174,0,0.720101323677227,1,0,0
175,0,0.226754014147446,0,0,1
176,1,0.395482496358454,0,0,0
177,0,0.751202299259603,0,0,0
178,0,0.846817765152082,1,0,0
179,0,0.661951581947505,1,0,0
180,0,0.957696677418426,2,0,0
181,1,0.89094665995799,0,0,0
182,1,0.439052481437102,1,0,0
183,0,0.456965764751658,1,0,0
184,0,0.681698345346376,0,0,0
185,0,0.239098755875602,0,0,0
186,1,0.856285156914964,1,0,0
187,0,0.9665238247253,2,1,NA
188,0,0.00562914879992604,1,0,0
189,0,0.696785154519603,1,0,0
190,0,0.698093246435747,1,0,0
191,1,0.5966799154412,0,1,NA
192,0,0.938557794550434,2,0,0
193,0,0.142490830272436,1,0,0
194,1,0.694928222335875,0,0,0
195,1,0.230999755905941,1,0,0
196,0,0.214286077069119,0,0,0
197,0,0.802582317963243,1,0,0
198,0,0.0625122403725982,0,0,1
199,0,0.0127434842288494,1,0,0
200,0,0.851986732101068,0,0,0
201,1,0.35590328858234,2,0,0
202,1,0.836892756866291,1,0,0
203,0,0.185605006758124,0,0,0
204,1,0.744350883178413,0,0,0
205,0,0.259595474926755,2,0,0
206,0,0.654688391368836,1,0,0
207,1,0.500297149177641,1,0,0
208,0,0.841190327657387,2,1,NA
209,0,0.888984356774017,1,0,0
210,0,0.752166665159166,1,0,1
211,1,0.459265001351014,0,0,1
212,0,0.208537870552391,0,0,1
213,1,0.971813169308007,1,0,1
214,0,0.630581069504842,1,1,NA
215,1,0.217583039309829,0,0,0
216,0,0.910820389399305,1,0,0
217,1,0.964328604983166,1,0,0
218,0,0.0762535680551082,2,1,NA
219,0,0.72501963772811,0,0,0
220,1,0.250981596997008,0,0,0
221,1,0.978704121662304,1,0,1
222,0,0.155036209151149,0,0,1
223,0,0.620966172311455,1,0,0
224,1,0.121985348407179,0,0,0
225,1,0.240245058899745,1,1,NA
226,1,0.152641125954688,1,0,0
227,1,0.899486382026225,1,0,0
228,1,0.919901806861162,0,0,0
229,1,0.220294753089547,2,0,0
230,1,0.47016530088149,1,0,0
231,0,0.577269298257306,2,1,NA
232,1,0.163950795773417,2,0,0
233,1,0.0180446391459554,0,0,0
234,1,0.0989863192662597,0,0,0
235,0,0.275395920034498,0,0,0
236,1,0.811023062327877,1,0,1
237,1,0.91604823176749,1,0,0
238,0,0.13616964709945,1,0,0
239,1,0.370659199776128,2,0,0
240,0,0.0681886177044362,0,0,0
241,1,0.3108976543881,1,0,0
242,0,0.719409813871607,1,0,0
243,0,0.403604808729142,1,0,0
244,1,0.354558310005814,0,0,0
245,0,0.833611018955708,1,0,0
246,1,0.63042362453416,2,0,0
247,0,0.485574521590024,1,0,0
248,1,0.84781940234825,2,0,0
249,0,0.558129482669756,2,1,NA
250,0,0.614276283187792,2,1,NA
251,1,0.617494678124785,1,0,0
252,1,0.0205240848008543,1,0,0
253,0,0.517595520010218,0,1,NA
254,1,0.202527818735689,1,0,0
255,1,0.472724524093792,0,0,0
256,0,0.767124703619629,0,0,0
257,1,0.1597758915741,0,0,0
258,0,0.243348141433671,1,0,0
259,0,0.212717685615644,1,1,NA
260,1,0.333321695216,0,0,0
261,1,0.0362806965131313,2,1,NA
262,1,0.414136214414611,2,0,0
263,1,0.239105019951239,0,0,1
264,0,0.525456190342084,1,0,0
265,0,0.105297873029485,1,0,0
266,0,0.984203591942787,1,0,0
267,0,0.421316522872075,0,0,1
268,0,0.0730006049852818,0,0,1
269,1,0.859194680117071,0,0,0
270,1,0.643207229673862,2,0,0
271,1,0.777518476126716,1,0,0
272,1,0.987504038028419,1,0,0
273,1,0.560321330092847,0,0,1
274,1,0.0454267268069088,1,0,0
275,0,0.776540958089754,1,0,1
276,0,0.947835231199861,0,0,1
277,1,0.757244537584484,2,0,0
278,0,0.08471774822101,2,0,0
279,1,0.227009778143838,0,0,1
280,1,0.434089712332934,1,1,NA
281,0,0.885992710245773,1,0,0
282,1,0.714247860014439,0,0,1
283,0,0.11565924459137,1,0,0
284,1,0.0694864615797997,0,0,0
285,1,0.110997212817892,1,0,0
286,1,0.721655226079747,2,0,1
287,1,0.388727166224271,1,0,0
288,1,0.815304429037496,1,0,0
289,1,0.28115368518047,0,0,0
290,1,0.989510094514117,1,0,0
291,1,0.794463907368481,1,0,0
292,0,0.804068887606263,1,0,1
293,0,0.787213125498965,1,0,0
294,1,0.438814435852692,0,0,0
295,1,0.982521107187495,0,0,1
296,1,0.366119620623067,0,0,1
297,1,0.530232819728553,0,0,1
298,0,0.528439924586564,2,0,0
299,0,0.728985632769763,2,0,0
300,1,0.602206328650936,1,0,0
301,1,0.977069030283019,1,0,0
302,0,0.844832216156647,0,1,NA
303,0,0.17557498649694,1,0,1
304,1,0.347346442518756,0,0,0
305,0,0.0209508244879544,1,0,0
306,0,0.297460943460464,0,0,1
307,1,0.535358222899958,1,0,0
308,1,0.0372743753250688,2,1,NA
309,1,0.894630747847259,1,0,0
310,1,0.140171429840848,1,0,0
311,1,0.291404987452552,0,0,0
312,0,0.232103583635762,0,0,1
313,0,0.578608845360577,1,0,0
314,1,0.368042786605656,1,1,NA
315,0,0.203014687169343,1,0,0
316,1,0.612553084036335,2,0,0
317,0,0.929689770331606,0,0,0
318,0,0.910167331807315,1,1,NA
319,1,0.426146829966456,1,0,0
320,0,0.477391115156934,1,0,0
321,1,0.568971934495494,1,0,0
322,0,0.32272017095238,2,0,0
323,0,0.453403503866866,1,0,0
324,0,0.173018155153841,1,0,0
325,0,0.796494804089889,1,0,0
326,1,0.804537551943213,0,0,0
327,0,0.883114988915622,1,1,NA
328,0,0.813415742712095,0,0,0
329,1,0.680116165895015,2,0,0
330,0,0.539834205061197,0,0,1
331,1,0.825818414334208,2,0,1
332,0,0.357131646946073,2,0,0
333,0,0.293450110824779,1,1,NA
334,0,0.480702851666138,1,0,0
335,1,0.815297855064273,2,0,0
336,0,0.981281531509012,0,0,1
337,0,0.413882956141606,0,0,0
338,0,0.600754392566159,2,1,NA
339,1,0.946242960169911,0,0,0
340,0,0.0719082020223141,1,1,NA
341,0,0.374308323254809,1,0,0
342,1,0.329362454358488,1,0,1
343,0,0.752779179718345,2,0,0
344,1,0.31309585343115,1,0,0
345,0,0.681074823020026,1,1,NA
346,0,0.0910841275472194,0,0,1
347,0,0.926678411662579,0,0,1
348,0,0.610507550416514,0,0,1
349,1,0.521489065606147,2,0,0
350,1,0.994708571815863,2,0,0
351,1,0.6147658189293,1,0,0
352,1,0.23771627410315,2,0,0
353,0,0.723717293702066,1,1,NA
354,1,0.49898344418034,0,0,0
355,0,0.705886769341305,1,0,0
356,0,0.286068494431674,2,1,NA
357,0,0.0374587040860206,1,0,0
358,0,0.447652346687391,0,0,0
359,1,0.976133737480268,1,0,0
360,1,0.841868378454819,2,0,0
361,1,0.414443255402148,2,0,0
362,1,0.353677398292348,1,0,0
363,1,0.956541903084144,1,0,0
364,1,0.683889628387988,0,0,0
365,0,0.916425719624385,2,0,0
366,0,0.490288391476497,1,0,0
367,1,0.307753931963816,1,0,0
368,1,0.0941260834224522,1,0,0
369,0,0.083082881057635,2,0,0
370,1,0.0469506341032684,2,1,NA
371,0,0.300947010749951,0,0,0
372,1,0.237354410812259,1,0,0
373,0,0.57521759159863,1,0,1
374,0,0.547423293814063,1,0,0
375,1,0.749277655035257,1,0,0
376,0,0.910648306133226,1,0,1
377,1,0.503376170061529,1,0,0
378,1,0.843125920975581,0,0,1
379,0,0.277066418202594,0,1,NA
380,0,0.167558807414025,1,0,0
381,1,0.925344394752756,1,0,0
382,0,0.901556319091469,1,0,0
383,1,0.372164904372767,2,0,0
384,1,0.69645662070252,1,0,0
385,0,0.525729921180755,1,1,NA
386,1,0.23948093270883,1,0,0
387,1,0.0655551850795746,2,0,0
388,1,0.89440098288469,1,1,NA
389,0,0.653632953064516,1,0,0
390,1,0.574601565953344,1,1,NA
391,0,0.894939857069403,0,0,0
392,1,0.00417720736004412,1,0,0
393,1,0.418969966471195,2,0,0
394,1,0.633398333564401,0,0,0
395,0,0.195874148514122,0,0,1
396,0,0.655869216891006,0,0,1
397,1,0.704390276921913,1,0,0
398,0,0.370057462248951,0,0,1
399,1,0.346431472338736,2,0,0
400,0,0.534274427918717,0,0,1
401,0,0.401530383620411,0,0,1
402,1,0.413041192106903,1,0,0
403,1,0.0930374730378389,0,0,0
404,1,0.400543126044795,2,0,0
405,0,0.55209986679256,2,0,0
406,1,0.287105219904333,1,0,0
407,0,0.12650677934289,0,0,0
408,1,0.28116014925763,1,0,0
409,1,0.963582259602845,1,0,0
410,1,0.400954796001315,2,0,0
411,0,0.112132149050012,0,0,1
412,1,0.349735118215904,2,0,0
413,1,0.986072498839349,1,0,0
414,0,0.108525201911107,0,0,0
415,1,0.897709963144735,2,0,0
416,1,0.77311336947605,1,0,0
417,0,0.685210420982912,0,1,NA
418,0,0.821466117864475,0,0,1
419,0,0.636697069276124,1,0,0
420,0,0.647661768365651,2,0,0
421,0,0.90641863993369,1,1,NA
422,0,0.537626310018823,0,0,1
423,1,0.667919583618641,1,0,0
424,1,0.296842025360093,1,0,0
425,1,0.700352774467319,0,0,0
426,1,0.173343958565965,1,0,0
427,0,0.714742174139246,0,0,0
428,1,0.580358843319118,0,0,0
429,0,0.239133502589539,0,0,1
430,1,0.153872477123514,2,0,0
431,1,0.718720498960465,1,0,1
432,1,0.462394330184907,1,0,0
433,1,0.953145812498406,0,0,1
434,0,0.917264038464054,1,0,0
435,0,0.975758320651948,0,0,0
436,1,0.367966493824497,2,0,0
437,1,0.59541941061616,2,0,0
438,1,0.844671914586797,0,0,0
439,0,0.372016628738493,1,0,1
440,1,0.604893667623401,1,0,0
441,1,0.397027619183064,0,0,0
442,0,0.491273700259626,0,0,0
443,0,0.0573995863087475,0,0,0
444,1,0.95929530216381,0,0,1
445,0,0.158914209576324,0,0,0
446,1,0.836853749584407,1,0,1
447,1,0.952835122123361,2,0,0
448,1,0.202634806977585,0,0,0
449,1,0.387003489769995,0,0,0
450,1,0.167461227392778,2,0,0
451,1,0.681785462424159,2,0,0
452,1,0.954445810057223,1,0,0
453,1,0.528230333235115,2,0,0
454,1,0.716740162344649,2,1,NA
455,0,0.614442088641226,1,0,0
456,0,0.370126814814284,2,0,0
457,0,0.619568473193794,1,0,1
458,1,0.523805862525478,0,0,0
459,1,0.130215150536969,0,0,0
460,1,0.611987717915326,0,0,0
461,0,0.442178680095822,0,0,1
462,0,0.905848895199597,1,0,0
463,1,0.674941692268476,0,1,NA
464,1,0.353575427783653,1,0,0
465,1,0.739697966491804,1,0,1
466,1,0.370310691418126,2,1,NA
467,0,0.389849102124572,0,1,NA
468,1,0.462195874890313,1,1,NA
469,1,0.654858786147088,1,0,0
470,0,0.501277690753341,2,1,NA
471,1,0.689621767029166,1,0,0
472,1,0.320525391027331,1,0,0
473,1,0.574990320950747,1,0,0
474,1,0.0358167076483369,0,0,0
475,1,0.453366370406002,1,0,0
476,1,0.826878857798874,1,0,1
477,0,0.218120465287939,1,0,0
478,1,0.705657293554395,1,0,0
479,0,0.325071200961247,1,0,1
480,1,0.00753951165825129,0,0,0
481,1,0.739983214065433,0,0,0
482,0,0.353975626407191,0,0,0
483,0,0.723813477205113,1,0,0
484,1,0.617050043307245,0,0,0
485,1,0.532323129242286,1,1,NA
486,1,0.724147270433605,1,0,0
487,1,0.82022651983425,1,1,NA
488,1,0.0832661492750049,2,0,0
489,0,0.594610548112541,1,0,0
490,0,0.700220341794193,0,0,1
491,0,0.741631954908371,1,0,0
492,0,0.0570338433608413,1,0,0
493,1,0.518398151034489,1,0,0
494,0,0.62182294530794,1,0,0
495,1,0.88880225783214,0,0,1
496,0,0.554614796536043,0,0,0
497,0,0.852046641055495,1,0,1
498,0,0.118569048820063,0,0,0
499,1,0.671107493340969,2,0,0
500,0,0.444574947468936,1,0,1
501,0,0.623525244416669,0,0,0
502,1,0.715161440894008,1,0,0
503,0,0.428871813463047,1,0,1
504,0,0.968959595542401,1,1,NA
505,0,0.618910766672343,2,0,0
506,1,0.708740694914013,1,0,0
507,1,0.70014034374617,1,0,0
508,0,0.951264446601272,2,1,NA
509,1,0.999337239889428,1,0,0
510,1,0.167810456361622,0,0,0
511,1,0.042057684622705,2,0,0
512,1,0.562420572619885,2,0,0
513,1,0.892469851532951,2,1,NA
514,1,0.80193357844837,1,0,0
515,1,0.411751291714609,2,0,0
516,0,0.549130250932649,1,1,NA
517,0,0.09538016282022,1,1,NA
518,1,0.930374439805746,2,0,0
519,1,0.165838863234967,1,0,0
520,1,0.526814257958904,1,0,0
521,1,0.255676865112036,1,0,0
522,0,0.554535434115678,0,0,1
523,1,0.015050191199407,1,0,0
524,0,0.815906623611227,1,0,0
525,0,0.683429921511561,2,0,0
526,0,0.115607185056433,1,0,0
527,1,0.765200180467218,0,0,1
528,1,0.918295538285747,1,0,0
529,1,0.0399028083775192,1,0,0
530,0,0.680003077257425,2,1,NA
531,1,0.43942061951384,2,0,0
532,1,0.68584304722026,0,0,0
533,1,0.999715904938057,1,0,1
534,1,0.111645560711622,2,0,0
535,1,0.117076713824645,2,0,0
536,1,0.582022522110492,0,0,1
537,1,0.452113079139963,1,0,0
538,1,0.161972107132897,0,0,0
539,0,0.390442502684891,1,0,1
540,1,0.102766571100801,0,0,0
541,1,0.753952418221161,0,0,1
542,1,0.20317049161531,0,0,0
543,0,0.642059898003936,1,0,0
544,0,0.17375314515084,0,0,0
545,0,0.344591267872602,0,0,0
546,0,0.00441758567467332,0,0,1
547,1,0.529284418793395,2,0,0
548,0,0.29455329454504,0,0,0
549,1,0.772648010170087,2,1,NA
550,0,0.00407543266192079,0,0,0
551,1,0.852029694942757,2,0,0
552,0,0.374733064556494,1,1,NA
553,0,0.720433772075921,2,1,NA
554,0,0.41701503796503,1,0,0
555,0,0.186758846510202,1,0,0
556,0,0.102521009277552,2,1,NA
557,1,0.97274181433022,1,0,0
558,0,0.407832078402862,1,0,1
559,0,0.188003476010635,1,0,0
560,0,0.310728601878509,1,0,1
561,1,0.665244239848107,1,0,0
562,0,0.94925606274046,2,1,NA
563,0,0.384557946119457,1,0,0
564,0,0.609922355506569,0,0,0
565,1,0.773515369277447,1,0,0
566,1,0.247330758487806,1,0,0
567,1,0.156990270130336,1,0,0
568,0,0.45996140432544,2,0,0
569,1,0.939272795803845,1,0,0
570,1,0.097286784555763,1,0,0
571,1,0.87955688429065,1,0,0
572,1,0.685650961007923,0,0,0
573,0,0.606913812458515,1,0,0
574,0,0.53817154513672,1,0,1
575,1,0.94889726373367,1,0,0
576,0,0.135758546181023,1,0,0
577,1,0.177630138816312,0,0,0
578,1,0.378234253032133,2,0,0
579,1,0.585757290711626,0,0,0
580,1,0.204741867957637,1,0,0
581,1,0.725618802942336,1,0,0
582,0,0.312316266121343,2,0,0
583,0,0.240394486812875,2,0,0
584,0,0.0886961971409619,1,0,0
585,1,0.911833950551227,1,0,1
586,0,0.825739769497886,1,1,NA
587,1,0.972872196929529,2,0,1
588,0,0.673782726284117,1,0,0
589,0,0.749086641008034,1,0,0
590,1,0.287775685312226,1,0,0
591,1,0.513146417681128,1,0,0
592,1,0.530193767743185,0,0,1
593,1,0.78971357527189,1,0,1
594,0,0.855592217994854,1,0,0
595,0,0.145189605653286,0,0,0
596,1,0.990740549983457,0,0,1
597,0,0.602092688903213,0,0,1
598,1,0.100094451103359,1,0,0
599,0,0.63742435304448,1,0,1
600,1,0.115673097549006,1,0,0
601,0,0.663295989623293,2,1,NA
602,0,0.390304159838706,1,1,NA
603,0,0.556456941878423,0,1,NA
604,1,0.682453136891127,0,0,0
605,1,0.573954604333267,0,0,0
606,1,0.98160722781904,2,0,1
607,0,0.764880628790706,2,0,0
608,0,0.376915914705023,1,0,0
609,1,0.890464418567717,2,1,NA
610,0,0.158828505082056,0,0,0
611,0,0.35635898867622,1,0,1
612,0,0.576360031263903,1,0,0
613,0,0.4246118334122,2,0,0
614,1,0.848221177002415,0,0,0
615,0,0.113245147978887,1,0,0
616,0,0.643076703883708,1,0,1
617,1,0.0663309388328344,1,0,0
618,1,0.986306641018018,2,0,0
619,1,0.661424132529646,1,0,0
620,0,0.604248078307137,1,0,1
621,0,0.603395441081375,0,0,0
622,0,0.256528699537739,0,0,1
623,1,0.845916646532714,1,0,1
624,0,0.929004219826311,0,0,0
625,0,0.262674350291491,1,0,0
626,0,0.0666523762047291,0,0,0
627,1,0.781265094177797,2,0,0
628,1,0.709865438053384,0,0,0
629,0,0.721697297645733,2,1,NA
630,0,0.643953962018713,1,0,0
631,0,0.499246104387566,2,0,0
632,0,0.209996244404465,1,0,0
633,1,0.987568924669176,0,0,0
634,0,0.684042254230008,0,0,0
635,1,0.278396671870723,2,0,0
636,1,0.194574916735291,2,0,0
637,1,0.0137999420985579,0,0,0
638,1,0.856481319060549,0,0,0
639,0,0.239054914563894,1,0,0
640,0,0.993973234668374,1,0,1
641,0,0.34797314577736,1,1,NA
642,0,0.0752839692868292,0,0,1
643,0,0.26672208472155,2,0,0
644,1,0.84855683404021,2,0,0
645,0,0.511788700241596,1,0,0
646,0,0.187377460068092,1,0,1
647,1,0.835872721159831,1,0,0
648,1,0.556123457849026,2,1,NA
649,0,0.231822740053758,0,0,1
650,1,0.87343206256628,1,0,0
651,0,0.0867402097210288,1,0,0
652,1,0.187907090876251,2,0,0
653,0,0.790158586576581,1,0,0
654,0,0.0937720285728574,0,0,1
655,1,0.679192729527131,0,0,0
656,1,0.254125419305637,2,1,NA
657,0,0.175557981943712,1,0,0
658,0,0.35777297988534,1,0,0
659,0,0.0713888872414827,0,0,0
660,0,0.717749144881964,2,0,0
661,0,0.2251422109548,1,1,NA
662,0,0.0371728541795164,1,0,0
663,0,0.28821706213057,1,1,NA
664,1,0.549949752399698,2,1,NA
665,0,0.629652239382267,1,1,NA
666,0,0.0328361107967794,2,0,0
667,0,0.384834228083491,1,0,0
668,0,0.0987497461028397,1,1,NA
669,0,0.986353427171707,1,1,NA
670,0,0.0537436071317643,1,0,0
671,0,0.182782437419519,0,0,0
672,0,0.87556546763517,2,1,NA
673,1,0.310527462977916,2,0,0
674,0,0.153169908095151,1,0,0
675,0,0.958184204995632,1,0,0
676,1,0.943811081815511,0,0,0
677,0,0.501411116216332,2,0,0
678,1,0.911478691501543,1,0,0
679,0,0.777235497254878,1,0,1
680,1,0.04703229945153,1,1,NA
681,1,0.291428149910644,1,0,0
682,0,0.717910496750847,1,0,1
683,0,0.659343336941674,0,0,1
684,0,0.388865893473849,0,0,1
685,1,0.958764330251142,1,0,0
686,1,0.104953865986317,1,0,0
687,1,0.146247360855341,1,0,0
688,0,0.330845849122852,1,1,NA
689,0,0.343879897613078,1,0,0
690,1,0.563360618893057,2,0,0
691,1,0.971142627066001,1,1,NA
692,0,0.726005448028445,1,0,0
693,1,0.924805936170742,0,0,0
694,0,0.324884442612529,0,0,0
695,1,0.908381038811058,1,0,0
696,0,0.523470777785406,1,0,1
697,1,0.527555953478441,1,0,1
698,0,0.95844779885374,0,0,1
699,0,0.0259695686399937,0,0,1
700,0,0.752025769324973,1,0,0
701,1,0.342049741186202,0,0,1
702,1,0.271432471228763,1,0,0
703,0,0.445779574336484,1,0,1
704,0,0.922867108369246,0,1,NA
705,1,0.372090896358714,1,1,NA
706,1,0.503763241227716,0,0,1
707,0,0.583553935401142,1,0,1
708,0,0.0560142612084746,1,0,0
709,1,0.448641363531351,2,0,0
710,0,0.0470777549780905,1,0,0
711,1,0.488848211476579,1,0,0
712,0,0.460819111904129,2,0,0
713,1,0.52992610167712,0,0,0
714,1,0.0794711099006236,2,0,0
715,1,0.971420797519386,1,0,0
716,1,0.902799139730632,2,0,0
717,0,0.486167161725461,0,0,0
718,1,0.41969959042035,2,0,0
719,0,0.840762314153835,0,0,0
720,1,0.810532385250553,1,0,0
721,0,0.7247162128333,2,0,0
722,1,0.0990085557568818,2,0,0
723,1,0.924213299527764,0,0,0
724,0,0.5910512318369,0,0,0
725,0,0.389837877592072,1,0,0
726,1,0.187495406949893,1,0,0
727,0,0.122195862000808,1,0,0
728,1,0.351387676084414,1,0,0
729,1,0.767173643689603,1,0,0
730,1,0.528383747907355,2,1,NA
731,0,0.663614995544776,1,0,0
732,0,0.204566535307094,2,0,0
733,0,0.0156272780150175,0,0,0
734,1,0.796716882381588,1,0,0
735,1,0.618093100376427,2,1,NA
736,0,0.0115557585377246,1,0,0
737,0,0.420111088315025,1,0,0
738,1,0.919301496818662,1,0,0
739,1,0.0979545200243592,0,0,0
740,0,0.907444398850203,0,1,NA
741,0,0.414511886425316,0,0,1
742,1,0.537954090861604,0,0,0
743,0,0.195870684925467,0,0,1
744,0,0.59089206950739,1,0,0
745,1,0.152302837232128,2,0,0
746,0,0.574557996354997,1,0,0
747,0,0.207914647646248,0,0,0
748,1,0.655588962137699,1,0,0
749,0,0.699475275352597,0,0,0
750,0,0.0270429833326489,1,0,0
751,0,0.236147261690348,0,0,0
752,0,0.362597439903766,1,0,0
753,1,0.949221738381311,0,0,0
754,1,0.632065191166475,1,0,0
755,0,0.649148148717359,1,0,0
756,1,0.104835815029219,2,1,NA
757,1,0.0180994577240199,2,0,0
758,0,0.634384896606207,0,1,NA
759,1,0.709896268555894,1,0,0
760,0,0.6086917121429,1,0,0
761,0,0.141720571322367,0,0,1
762,0,0.0733430499676615,0,0,1
763,1,0.309262478491291,1,0,0
764,1,0.184772493550554,1,1,NA
765,0,0.0159558404702693,0,0,1
766,1,0.689846741966903,1,0,0
767,0,0.23936456348747,2,0,0
